kshkod,town_name,district_name,county,Fragmentation,Fragmentation_scaled,SPB,SPB_norm,ADC,ADC_norm,SCA,SCA_norm
982,Pilis,Monori,Pest,0.33480659,0.69937319,0.77899581,1.0441608,1174.653,-0.19439557,0.028663754,0.43726471
984,Hernad,Dabasi,Pest,0.364025,1.2062209,0.42468771,-0.14084306,1019.335,-0.31652716,0.056879401,-0.046790704
988,Fertod,Soproni,Gyor-Moson-Sopron,0.34139639,0.8136856,0.79320753,1.2745523,3577.7019,3.2478254,0.019239984,0.56285089
990,Racalmas,Dunaújvárosi,Fejer,0.33598071,0.71974057,0.0113804,-1.7244284,875.11298,-0.55806434,0.045394361,0.16420271
991,Tuzser,Záhonyi,Szabolcs-Szatmar-Bereg,0.22496361,-1.206058,0.35152,-0.34050578,481.586,-1.0240883,0.060121972,-0.15759639
997,Delegyhaza,Szigetszentmiklósi,Pest,0.28796151,-0.11324194,0.74727738,1.119346,744.96558,-0.68878037,0.085210197,-0.51826
999,Nagykovacsi,Budakeszi,Pest,0.3981491,1.7981671,0.053397499,-1.5575811,654.75922,-0.80314457,0.012195705,0.67313248
1016,Puspokladany,Püspökladányi,Hajdu-Bihar,0.30136299,0.11923167,0.75219941,1.0618538,1265.3571,-0.0056661903,0.024647642,0.48275548
1029,Gardony,Gárdonyi,Fejer,0.45408601,2.7684968,0.4975462,0.050989091,2733.0801,1.8922133,0.0079903556,0.75161105
1033,Asotthalom,Mórahalmi,Csongrad,0.3149727,0.35531741,0.4851476,0.14318085,2430.3379,1.7407054,0.061181415,-0.14460793
1034,Zalakomar,Nagykanizsai,Zala,0.21793389,-1.3280015,0.54039133,0.40222761,918.21973,-0.39528653,0.10801078,-0.96039712
1039,Hajduhadhaz,Hajdúhadházi,Hajdu-Bihar,0.39701131,1.77843,0.3713465,-0.35458833,1161.296,-0.13003001,0.15162595,-1.5660847
1048,Bicske,Bicskei,Fejer,0.35233951,1.0035143,0.61839253,0.5784713,1024.132,-0.32319647,0.023389218,0.49962968
1049,Dorog,Esztergomi,Komarom-Esztergom,0.35218221,1.0007857,0.4876934,0.087785922,861.36292,-0.54419023,0.010300547,0.70936513
1055,Monor,Monori,Pest,0.32844701,0.58905452,0.43054551,-0.15117207,1857.637,0.79755086,0.026015487,0.46188706
1071,Bacsalmas,Bácsalmási,Baranya,0.24927031,-0.78441304,0.43993941,-0.08416643,898.88397,-0.48524287,0.063993968,-0.1610655
1072,Edeleny,Edelényi,Borsod-Abauj-Zemplen,0.3528221,1.0118856,0.7683205,1.1886971,1149.293,-0.12818255,0.034642022,0.31097376
1081,Kiskunlachaza,Ráckevei,Pest,0.31062481,0.27989513,0.69493288,0.84652364,1187.3051,-0.11225133,0.033343695,0.344291
1082,Pecsvarad,Pécsváradi,Bacs-Kiskun,0.2320327,-1.0834314,0.0093419002,-1.7278547,710.94702,-0.66489041,0.021144215,0.50460333
1092,Maglod,Vecsési,Pest,0.33506531,0.70386112,0.054876,-1.559463,1246.7939,-0.025092835,0.026170444,0.45705888
1100,Jaszkarajeno,Ceglédi,Pest,0.23270001,-1.0718558,0.0,-1.7665223,574.21838,-0.8827759,0.037546769,0.22652316
1126,Kony,Csornai,Gyor-Moson-Sopron,0.2323693,-1.0775924,0.44049811,0.011490411,779.22827,-0.59133768,0.10767464,-0.96520495
1127,Nyirlugos,Nyírbátori,Szabolcs-Szatmar-Bereg,0.2288527,-1.1385944,0.24881069,-0.75490075,1517.475,0.50708181,0.057860982,-0.1209887
1130,Besenyszog,Szolnoki,Jasz-Nagykun-Szolnok,0.2586692,-0.62137169,0.26689121,-0.70991397,659.40479,-0.78552544,0.021719942,0.51108706
1132,Mezokeresztes,Mezőkövesdi,Borsod-Abauj-Zemplen,0.35917759,1.1221336,0.031168399,-1.6443336,853.84363,-0.51795977,0.060789842,-0.13394676
1134,Cegled,Ceglédi,Pest,0.3213912,0.46665817,0.76268172,0.94098496,1800.5031,0.5876919,0.0067213923,0.77417099
1143,Varpalota,Várpalotai,Veszprem,0.3045499,0.17451459,0.63575357,0.67089039,1565.99,0.44681352,0.015432289,0.62466878
1161,Korosladany,Szeghalmi,Bekes,0.23668779,-1.0026801,0.5402903,0.32507145,1337.822,0.14726776,0.034372769,0.31173432
1176,Veszprem,Veszprémi,Veszprem,0.31653711,0.38245505,0.52122313,0.13537492,2598.553,1.7099335,0.0023394574,0.83906347
1183,Pocsaj,Derecskei,Hajdu-Bihar,0.1944693,-1.7350385,0.51367038,0.25019863,892.84729,-0.46054065,0.036910918,0.26155156
1187,Mezohegyes,Mezőkovácsházai,Bekes,0.22337361,-1.2336395,0.71216911,0.97579348,2688.5859,2.0262249,0.0076183612,0.75098729
1188,Abda,Győri,Gyor-Moson-Sopron,0.31005931,0.27008551,0.61575007,0.72928452,628.81042,-0.80797106,0.032311868,0.32061109
1193,Urom,Pilisvörösvári,Pest,0.34470639,0.87110358,0.48058689,-0.056522664,869.16052,-0.61045849,0.029754043,0.42689821
1205,Budakeszi,Budakeszi,Pest,0.3860389,1.588093,0.31395,-0.57336193,671.70367,-0.8064996,0.0062899468,0.77398479
1212,Letenye,Letenyei,Zala,0.37627339,1.4186921,0.47688019,0.14807862,771.57288,-0.6085903,0.029796962,0.36862627
1214,Csepreg,Kőszegi,Vas,0.30763829,0.22808838,0.26917219,-0.67919368,734.65277,-0.65583718,0.077006675,-0.44204658
1225,Fuzesgyarmat,Szeghalmi,Bekes,0.2123813,-1.4243214,0.0175137,-1.6987644,948.3175,-0.40116495,0.078010306,-0.4028329
1227,Nyirmada,Vásárosnaményi,Szabolcs-Szatmar-Bereg,0.2140841,-1.3947833,0.0133452,-1.7147151,1070.076,-0.2249456,0.14459386,-1.501776
1244,Abadszalok,Kunhegyesi,Jasz-Nagykun-Szolnok,0.25442311,-0.69502801,0.3064003,-0.58865482,879.89447,-0.5051766,0.043257903,0.17103031
1257,Lenti,Lenti,Zala,0.3714537,1.3350856,0.84892762,1.524163,2110.7339,1.2377827,0.013957301,0.64610988
1259,Tiszadob,Tiszavasvári,Szabolcs-Szatmar-Bereg,0.18355019,-1.9244508,0.213765,-0.91440594,1382.687,0.26808584,0.085210197,-0.56314236
1269,Szod,Váci,Pest,0.26509449,-0.50991309,0.0,-1.7665223,1185.5179,0.048874363,0.34657359,-5.2007184
1278,Berettyoujfalu,Berettyóújfalui,Hajdu-Bihar,0.30156091,0.12266491,0.69699878,0.84758729,1524.3521,0.34268391,0.0064874557,0.77217853
1280,Hajdudorog,Hajdúböszörményi,Hajdu-Bihar,0.35442191,1.0396376,0.0,-1.7665223,945.68042,-0.41618109,0.34657359,-4.7543788
1288,Nyekladhaza,Miskolci,Borsod-Abauj-Zemplen,0.266431,-0.48672873,0.85657477,1.5281527,631.67468,-0.85122842,0.040576797,0.21431004
1289,Ullo,Vecsési,Pest,0.3028276,0.14463799,0.62108779,0.62507087,1054.677,-0.25869578,0.022515193,0.50808018
1295,Nyul,Győri,Gyor-Moson-Sopron,0.44035569,2.530319,0.48061091,0.021113487,887.4624,-0.53480297,0.024936594,0.48244539
