metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT002M,2014,3479.0,39700.0,605496.0,,Graz,ICCS0101,3,Intentional homicide
AT002M,2014,3479.0,39700.0,605496.0,,Graz,ICCS0401,150,Robbery
AT002M,2014,3479.0,39700.0,605496.0,,Graz,ICCS05012,847,Burglary of private residential premises
AT002M,2014,3479.0,39700.0,605496.0,,Graz,ICCS050211,99,Theft of a motorized land vehicle
AT002M,2015,3479.0,40100.0,613859.0,,Graz,ICCS0101,4,Intentional homicide
AT002M,2015,3479.0,40100.0,613859.0,,Graz,ICCS0401,140,Robbery
AT002M,2015,3479.0,40100.0,613859.0,,Graz,ICCS05012,1047,Burglary of private residential premises
AT002M,2015,3479.0,40100.0,613859.0,,Graz,ICCS050211,174,Theft of a motorized land vehicle
AT002M,2016,3479.0,41700.0,622911.0,,Graz,ICCS0101,4,Intentional homicide
AT002M,2016,3479.0,41700.0,622911.0,,Graz,ICCS0401,161,Robbery
AT002M,2016,3479.0,41700.0,622911.0,,Graz,ICCS05012,742,Burglary of private residential premises
AT002M,2016,3479.0,41700.0,622911.0,,Graz,ICCS050211,154,Theft of a motorized land vehicle
AT002M,2017,3479.0,42800.0,629161.0,16.6,Graz,ICCS0101,5,Intentional homicide
AT002M,2017,3479.0,42800.0,629161.0,16.6,Graz,ICCS0401,137,Robbery
AT002M,2017,3479.0,42800.0,629161.0,16.6,Graz,ICCS05012,822,Burglary of private residential premises
AT002M,2017,3479.0,42800.0,629161.0,16.6,Graz,ICCS050211,146,Theft of a motorized land vehicle
AT002M,2018,3479.0,43900.0,633336.0,14.8,Graz,ICCS0101,4,Intentional homicide
AT002M,2018,3479.0,43900.0,633336.0,14.8,Graz,ICCS0401,116,Robbery
AT002M,2018,3479.0,43900.0,633336.0,14.8,Graz,ICCS05012,692,Burglary of private residential premises
AT002M,2018,3479.0,43900.0,633336.0,14.8,Graz,ICCS050211,109,Theft of a motorized land vehicle
AT002M,2019,3479.0,45700.0,637532.0,12.1,Graz,ICCS0101,3,Intentional homicide
AT002M,2019,3479.0,45700.0,637532.0,12.1,Graz,ICCS0401,144,Robbery
AT002M,2019,3479.0,45700.0,637532.0,12.1,Graz,ICCS05012,638,Burglary of private residential premises
AT002M,2019,3479.0,45700.0,637532.0,12.1,Graz,ICCS050211,122,Theft of a motorized land vehicle
AT002M,2020,3479.0,44000.0,642134.0,16.4,Graz,ICCS0101,1,Intentional homicide
AT002M,2020,3479.0,44000.0,642134.0,16.4,Graz,ICCS0401,111,Robbery
AT002M,2020,3479.0,44000.0,642134.0,16.4,Graz,ICCS05012,420,Burglary of private residential premises
AT002M,2020,3479.0,44000.0,642134.0,16.4,Graz,ICCS050211,69,Theft of a motorized land vehicle
AT003M,2008,4403.2,39400.0,,,Linz,ICCS0101,10,Intentional homicide
AT003M,2008,4403.2,39400.0,,,Linz,ICCS0401,205,Robbery
AT003M,2008,4403.2,39400.0,,,Linz,ICCS05012,1072,Burglary of private residential premises
AT003M,2009,4403.2,38100.0,,,Linz,ICCS0101,3,Intentional homicide
AT003M,2009,4403.2,38100.0,,,Linz,ICCS0401,227,Robbery
AT003M,2009,4403.2,38100.0,,,Linz,ICCS05012,863,Burglary of private residential premises
AT003M,2010,4403.2,39100.0,,,Linz,ICCS0101,7,Intentional homicide
AT003M,2010,4403.2,39100.0,,,Linz,ICCS0401,212,Robbery
AT003M,2010,4403.2,39100.0,,,Linz,ICCS05012,646,Burglary of private residential premises
AT003M,2011,4403.2,40900.0,,,Linz,ICCS0101,6,Intentional homicide
AT003M,2011,4403.2,40900.0,,,Linz,ICCS0401,203,Robbery
AT003M,2011,4403.2,40900.0,,,Linz,ICCS05012,827,Burglary of private residential premises
AT003M,2012,4404.0,41600.0,,,Linz,ICCS0101,10,Intentional homicide
AT003M,2012,4404.0,41600.0,,,Linz,ICCS0401,247,Robbery
AT003M,2012,4404.0,41600.0,,,Linz,ICCS05012,927,Burglary of private residential premises
AT003M,2013,4404.0,42300.0,,,Linz,ICCS0101,4,Intentional homicide
AT003M,2013,4404.0,42300.0,,,Linz,ICCS0401,210,Robbery
AT003M,2013,4404.0,42300.0,,,Linz,ICCS05012,925,Burglary of private residential premises
